date,maximum,minimum,station
2021-01-01,21.9,7.2,AEROPARQUE AERO
2021-01-01,36.9,6.3,LAS LOMITAS
2021-01-01,39.1,0.3,RIO GRANDE
2021-01-02,25.6,8.4,AEROPARQUE AERO
2021-01-02,20.6,6.5,LAS LOMITAS
2021-01-02,24.3,15.6,RIO GRANDE
2021-01-03,28.4,18.3,AEROPARQUE AERO
2021-01-03,25.9,7.8,LAS LOMITAS
2021-01-03,21.4,0.9,RIO GRANDE
2021-01-04,26.2,15.5,AEROPARQUE AERO
2021-01-04,28.7,9.8,LAS LOMITAS
2021-01-04,22.1,11.0,RIO GRANDE
2021-01-05,35.5,1.7,AEROPARQUE AERO
2021-01-05,29.9,6.4,LAS LOMITAS
2021-01-05,26.4,12.5,RIO GRANDE
2021-01-06,20.5,2.7,AEROPARQUE AERO
2021-01-06,28.6,0.2,LAS LOMITAS
2021-01-06,24.4,7.3,RIO GRANDE
2021-01-07,31.3,0.8,AEROPARQUE AERO
2021-01-07,34.6,10.9,LAS LOMITAS
2021-01-07,20.2,17.3,RIO GRANDE
2021-01-08,35.7,10.2,AEROPARQUE AERO
2021-01-08,39.3,13.0,LAS LOMITAS
2021-01-08,22.5,16.1,RIO GRANDE
2021-01-09,35.1,12.6,AEROPARQUE AERO
2021-01-09,31.5,18.7,LAS LOMITAS
2021-01-09,25.6,5.6,RIO GRANDE
2021-01-10,36.8,15.8,AEROPARQUE AERO
2021-01-10,34.4,10.8,LAS LOMITAS
2021-01-10,28.1,4.3,RIO GRANDE
2021-01-11,35.0,6.4,AEROPARQUE AERO
2021-01-11,20.6,7.7,LAS LOMITAS
2021-01-11,32.5,10.4,RIO GRANDE
2021-01-12,32.6,8.2,AEROPARQUE AERO
2021-01-12,28.9,7.1,LAS LOMITAS
2021-01-12,39.0,4.2,RIO GRANDE
2021-01-13,33.1,17.2,AEROPARQUE AERO
2021-01-13,25.7,6.7,LAS LOMITAS
2021-01-13,38.3,3.3,RIO GRANDE
2021-01-14,34.0,0.8,AEROPARQUE AERO
2021-01-14,28.4,17.4,LAS LOMITAS
2021-01-14,22.6,16.6,RIO GRANDE
2021-01-15,32.2,5.7,AEROPARQUE AERO
2021-01-15,20.7,11.2,LAS LOMITAS
2021-01-15,31.7,5.0,RIO GRANDE
2021-01-16,30.9,0.5,AEROPARQUE AERO
2021-01-16,32.5,8.0,LAS LOMITAS
2021-01-16,21.3,10.0,RIO GRANDE
2021-01-17,26.6,13.6,AEROPARQUE AERO
2021-01-17,28.7,10.9,LAS LOMITAS
2021-01-17,34.9,18.3,RIO GRANDE
2021-01-18,39.9,14.5,AEROPARQUE AERO
2021-01-18,38.1,8.8,LAS LOMITAS
2021-01-18,21.4,15.8,RIO GRANDE
2021-01-19,33.8,5.2,AEROPARQUE AERO
2021-01-19,30.7,14.7,LAS LOMITAS
2021-01-19,34.1,3.0,RIO GRANDE
2021-01-20,22.5,17.6,AEROPARQUE AERO
2021-01-20,34.2,8.8,LAS LOMITAS
2021-01-20,33.8,18.9,RIO GRANDE
2021-01-21,24.5,2.6,AEROPARQUE AERO
2021-01-21,22.9,4.7,LAS LOMITAS
2021-01-21,21.9,11.0,RIO GRANDE
2021-01-22,23.8,14.8,AEROPARQUE AERO
2021-01-22,26.4,15.7,LAS LOMITAS
2021-01-22,33.1,15.3,RIO GRANDE
2021-01-23,34.4,14.2,AEROPARQUE AERO
2021-01-23,23.2,3.8,LAS LOMITAS
2021-01-23,36.9,16.3,RIO GRANDE
2021-01-24,26.0,7.4,AEROPARQUE AERO
2021-01-24,27.3,10.1,LAS LOMITAS
2021-01-24,37.9,11.8,RIO GRANDE
2021-01-25,37.4,2.6,AEROPARQUE AERO
2021-01-25,29.8,2.1,LAS LOMITAS
2021-01-25,37.0,5.5,RIO GRANDE
2021-01-26,34.6,6.3,AEROPARQUE AERO
2021-01-26,20.3,7.8,LAS LOMITAS
2021-01-26,28.6,10.6,RIO GRANDE
2021-01-27,34.0,8.0,AEROPARQUE AERO
2021-01-27,25.2,10.3,LAS LOMITAS
2021-01-27,20.7,13.3,RIO GRANDE
2021-01-28,22.4,0.2,AEROPARQUE AERO
2021-01-28,31.8,17.0,LAS LOMITAS
2021-01-28,30.4,9.5,RIO GRANDE
2021-01-29,22.8,5.8,AEROPARQUE AERO
2021-01-29,21.9,8.3,LAS LOMITAS
2021-01-29,24.3,10.0,RIO GRANDE
2021-01-30,27.8,9.6,AEROPARQUE AERO
2021-01-30,35.9,0.8,LAS LOMITAS
2021-01-30,39.3,0.5,RIO GRANDE
2021-01-31,38.5,3.8,AEROPARQUE AERO
2021-01-31,38.9,4.2,LAS LOMITAS
2021-01-31,38.8,16.2,RIO GRANDE
2021-02-01,29.2,15.5,AEROPARQUE AERO
2021-02-01,26.2,13.3,LAS LOMITAS
2021-02-01,21.1,13.1,RIO GRANDE
2021-02-02,31.3,11.2,AEROPARQUE AERO
2021-02-02,39.9,17.6,LAS LOMITAS
2021-02-02,32.6,16.8,RIO GRANDE
2021-02-03,30.2,8.3,AEROPARQUE AERO
2021-02-03,28.6,14.3,LAS LOMITAS
2021-02-03,31.5,2.2,RIO GRANDE
2021-02-04,24.0,8.7,AEROPARQUE AERO
2021-02-04,39.9,3.9,LAS LOMITAS
2021-02-04,39.8,4.6,RIO GRANDE
2021-02-05,37.3,10.1,AEROPARQUE AERO
2021-02-05,26.4,19.8,LAS LOMITAS
2021-02-05,25.5,14.1,RIO GRANDE
2021-02-06,24.2,14.3,AEROPARQUE AERO
2021-02-06,29.5,5.0,LAS LOMITAS
2021-02-06,20.6,8.7,RIO GRANDE
2021-02-07,21.7,11.8,AEROPARQUE AERO
2021-02-07,36.9,7.5,LAS LOMITAS
2021-02-07,29.0,7.9,RIO GRANDE
2021-02-08,23.4,8.7,AEROPARQUE AERO
2021-02-08,27.1,16.3,LAS LOMITAS
2021-02-08,37.6,4.2,RIO GRANDE
2021-02-09,24.0,18.8,AEROPARQUE AERO
2021-02-09,22.5,3.0,LAS LOMITAS
2021-02-09,35.4,17.6,RIO GRANDE
2021-02-10,29.5,13.8,AEROPARQUE AERO
2021-02-10,32.0,9.6,LAS LOMITAS
2021-02-10,25.4,5.0,RIO GRANDE
2021-02-11,39.3,9.5,AEROPARQUE AERO
2021-02-11,23.8,11.8,LAS LOMITAS
2021-02-11,24.4,11.3,RIO GRANDE
2021-02-12,36.5,3.8,AEROPARQUE AERO
2021-02-12,28.4,11.8,LAS LOMITAS
2021-02-12,35.1,9.5,RIO GRANDE
2021-02-13,31.9,15.8,AEROPARQUE AERO
2021-02-13,24.1,9.7,LAS LOMITAS
2021-02-13,20.6,6.6,RIO GRANDE
2021-02-14,38.5,0.4,AEROPARQUE AERO
2021-02-14,28.1,16.3,LAS LOMITAS
2021-02-14,23.3,12.9,RIO GRANDE
2021-02-15,33.1,8.7,AEROPARQUE AERO
2021-02-15,39.3,17.2,LAS LOMITAS
2021-02-15,21.9,16.8,RIO GRANDE
2021-02-16,26.5,0.7,AEROPARQUE AERO
2021-02-16,26.0,1.3,LAS LOMITAS
2021-02-16,21.4,10.9,RIO GRANDE
2021-02-17,25.2,18.2,AEROPARQUE AERO
2021-02-17,22.2,15.3,LAS LOMITAS
2021-02-17,35.4,0.3,RIO GRANDE
2021-02-18,34.6,10.3,AEROPARQUE AERO
2021-02-18,32.6,4.8,LAS LOMITAS
2021-02-18,33.0,1.3,RIO GRANDE
2021-02-19,34.2,4.9,AEROPARQUE AERO
2021-02-19,36.7,6.2,LAS LOMITAS
2021-02-19,27.5,17.1,RIO GRANDE
2021-02-20,29.6,14.7,AEROPARQUE AERO
2021-02-20,34.8,9.1,LAS LOMITAS
2021-02-20,33.4,5.7,RIO GRANDE
2021-02-21,29.7,2.9,AEROPARQUE AERO
2021-02-21,22.8,15.6,LAS LOMITAS
2021-02-21,31.2,19.5,RIO GRANDE
2021-02-22,37.3,14.2,AEROPARQUE AERO
2021-02-22,25.1,2.8,LAS LOMITAS
2021-02-22,35.3,14.3,RIO GRANDE
2021-02-23,32.5,18.6,AEROPARQUE AERO
2021-02-23,38.9,8.8,LAS LOMITAS
2021-02-23,37.1,4.9,RIO GRANDE
2021-02-24,27.6,0.5,AEROPARQUE AERO
2021-02-24,31.8,18.6,LAS LOMITAS
2021-02-24,21.2,16.4,RIO GRANDE
2021-02-25,21.3,4.3,AEROPARQUE AERO
2021-02-25,31.4,2.5,LAS LOMITAS
2021-02-25,32.8,14.7,RIO GRANDE
2021-02-26,25.0,4.0,AEROPARQUE AERO
2021-02-26,39.8,18.0,LAS LOMITAS
2021-02-26,26.5,8.9,RIO GRANDE
2021-02-27,38.1,4.5,AEROPARQUE AERO
2021-02-27,27.4,2.5,LAS LOMITAS
2021-02-27,38.9,6.7,RIO GRANDE
2021-02-28,21.4,15.3,AEROPARQUE AERO
2021-02-28,33.5,14.4,LAS LOMITAS
2021-02-28,29.4,17.3,RIO GRANDE
2021-03-01,32.6,4.9,AEROPARQUE AERO
2021-03-01,38.4,2.8,LAS LOMITAS
2021-03-01,36.5,4.7,RIO GRANDE
2021-03-02,24.1,12.4,AEROPARQUE AERO
2021-03-02,23.1,8.5,LAS LOMITAS
2021-03-02,23.0,15.4,RIO GRANDE
2021-03-03,20.9,10.9,AEROPARQUE AERO
2021-03-03,36.3,14.9,LAS LOMITAS
2021-03-03,29.8,19.5,RIO GRANDE
2021-03-04,34.9,8.7,AEROPARQUE AERO
2021-03-04,38.4,7.8,LAS LOMITAS
2021-03-04,22.0,5.0,RIO GRANDE
2021-03-05,26.8,1.5,AEROPARQUE AERO
2021-03-05,22.5,17.1,LAS LOMITAS
2021-03-05,31.0,7.0,RIO GRANDE
2021-03-06,24.2,12.2,AEROPARQUE AERO
2021-03-06,29.3,5.4,LAS LOMITAS
2021-03-06,31.6,5.7,RIO GRANDE
2021-03-07,38.0,11.2,AEROPARQUE AERO
2021-03-07,23.2,6.7,LAS LOMITAS
2021-03-07,22.9,16.9,RIO GRANDE
2021-03-08,31.4,19.8,AEROPARQUE AERO
2021-03-08,34.6,17.6,LAS LOMITAS
2021-03-08,25.8,8.1,RIO GRANDE
2021-03-09,30.9,16.5,AEROPARQUE AERO
2021-03-09,21.3,8.1,LAS LOMITAS
2021-03-09,23.3,14.4,RIO GRANDE
2021-03-10,35.7,9.3,AEROPARQUE AERO
2021-03-10,21.9,12.0,LAS LOMITAS
2021-03-10,38.6,8.8,RIO GRANDE
2021-03-11,24.9,16.0,AEROPARQUE AERO
2021-03-11,32.4,5.1,LAS LOMITAS
2021-03-11,36.3,17.2,RIO GRANDE
2021-03-12,37.6,6.9,AEROPARQUE AERO
2021-03-12,34.0,10.8,LAS LOMITAS
2021-03-12,36.0,0.3,RIO GRANDE
2021-03-13,25.8,0.4,AEROPARQUE AERO
2021-03-13,37.1,15.5,LAS LOMITAS
2021-03-13,38.7,11.1,RIO GRANDE
2021-03-14,21.6,11.3,AEROPARQUE AERO
2021-03-14,36.4,10.7,LAS LOMITAS
2021-03-14,35.8,6.5,RIO GRANDE
2021-03-15,29.9,9.1,AEROPARQUE AERO
2021-03-15,37.7,2.5,LAS LOMITAS
2021-03-15,37.6,11.0,RIO GRANDE
2021-03-16,31.4,8.5,AEROPARQUE AERO
2021-03-16,25.7,15.6,LAS LOMITAS
2021-03-16,38.5,2.9,RIO GRANDE
2021-03-17,38.0,11.3,AEROPARQUE AERO
2021-03-17,27.6,18.8,LAS LOMITAS
2021-03-17,22.0,13.4,RIO GRANDE
2021-03-18,34.3,13.4,AEROPARQUE AERO
2021-03-18,33.4,13.9,LAS LOMITAS
2021-03-18,30.7,9.1,RIO GRANDE
2021-03-19,21.5,14.5,AEROPARQUE AERO
2021-03-19,28.4,9.3,LAS LOMITAS
2021-03-19,32.2,8.2,RIO GRANDE
2021-03-20,27.4,2.0,AEROPARQUE AERO
2021-03-20,37.7,8.9,LAS LOMITAS
2021-03-20,36.0,15.2,RIO GRANDE
2021-03-21,24.4,8.9,AEROPARQUE AERO
2021-03-21,35.7,10.4,LAS LOMITAS
2021-03-21,38.1,5.3,RIO GRANDE
2021-03-22,26.8,5.4,AEROPARQUE AERO
2021-03-22,29.5,17.0,LAS LOMITAS
2021-03-22,36.9,13.9,RIO GRANDE
2021-03-23,32.3,16.1,AEROPARQUE AERO
2021-03-23,31.2,11.7,LAS LOMITAS
2021-03-23,26.7,11.7,RIO GRANDE
2021-03-24,34.9,16.2,AEROPARQUE AERO
2021-03-24,23.3,18.8,LAS LOMITAS
2021-03-24,23.9,11.0,RIO GRANDE
2021-03-25,25.3,16.2,AEROPARQUE AERO
2021-03-25,31.1,11.5,LAS LOMITAS
2021-03-25,23.8,16.3,RIO GRANDE
2021-03-26,32.5,0.2,AEROPARQUE AERO
2021-03-26,25.6,18.9,LAS LOMITAS
2021-03-26,21.4,2.7,RIO GRANDE
2021-03-27,38.9,15.0,AEROPARQUE AERO
2021-03-27,25.6,4.8,LAS LOMITAS
2021-03-27,25.1,8.5,RIO GRANDE
2021-03-28,22.9,7.6,AEROPARQUE AERO
2021-03-28,28.7,0.2,LAS LOMITAS
2021-03-28,25.4,0.9,RIO GRANDE
2021-03-29,26.0,8.6,AEROPARQUE AERO
2021-03-29,21.2,4.2,LAS LOMITAS
2021-03-29,20.8,19.7,RIO GRANDE
2021-03-30,26.3,7.3,AEROPARQUE AERO
2021-03-30,31.9,0.6,LAS LOMITAS
2021-03-30,27.2,9.3,RIO GRANDE
2021-03-31,22.9,17.1,AEROPARQUE AERO
2021-03-31,22.1,17.2,LAS LOMITAS
2021-03-31,30.8,8.1,RIO GRANDE
2021-04-01,26.5,11.8,AEROPARQUE AERO
2021-04-01,38.3,4.5,LAS LOMITAS
2021-04-01,25.9,11.0,RIO GRANDE
2021-04-02,33.6,16.0,AEROPARQUE AERO
2021-04-02,34.5,6.9,LAS LOMITAS
2021-04-02,29.0,10.8,RIO GRANDE
2021-04-03,34.6,9.2,AEROPARQUE AERO
2021-04-03,38.2,20.0,LAS LOMITAS
2021-04-03,36.9,12.4,RIO GRANDE
2021-04-04,34.6,13.5,AEROPARQUE AERO
2021-04-04,35.2,9.9,LAS LOMITAS
2021-04-04,33.4,0.6,RIO GRANDE
2021-04-05,26.0,12.5,AEROPARQUE AERO
2021-04-05,39.7,0.7,LAS LOMITAS
2021-04-05,24.1,19.6,RIO GRANDE
2021-04-06,21.3,18.7,AEROPARQUE AERO
2021-04-06,32.5,17.0,LAS LOMITAS
2021-04-06,25.0,7.4,RIO GRANDE
